No.,Target,Significant --regex,Best Match Score,Best Match,Best Match Path,2nd Match Score,2nd Match,2nd Match Path,3rd Match Score,3rd Match,3rd Match Path
63,grinnell_17282,None,45,dg_1712600282.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,39,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,39,dg_1712600290.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
64,grinnell_5274,None,33,dg_1712600274.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,32,dg_1712600274.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,32,dg_1712600274.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
65,grinnell_5047,None,27,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,27,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,27,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
66,dg_1712600272,None,95,dg_1712600272.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,95,dg_1712600272.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,95,dg_1712600272.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
67,dg_1712600273,None,95,dg_1712600273.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,95,dg_1712600273.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,95,dg_1712600273.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
68,grinnell_4963,None,27,dg_1712600283.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,27,dg_1712600273.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,27,dg_1712600263.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
69,grinnell_10610,None,39,dg_1712600260.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,39,dg_1712600261.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,38,dg_1712600261.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs
70,grinnell_10611,None,39,dg_1712600261.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,38,dg_1712600261.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,38,dg_1712600261.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
71,grinnell_10612,None,39,dg_1712600261.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,38,dg_1712600261.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,38,dg_1712600261.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
72,dg_1712600269,None,95,dg_1712600269.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,95,dg_1712600269.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,95,dg_1712600269.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs
